Time,ax_caro,ay_caro,az_caro,wx_caro,wy_caro,wz_caro,Lat_caro,Lon_caro,Alt_caro,vN_caro,vE_caro,vU_caro,d_izq_caro,d_der_caro
0.22,-0.01146773,0.033490494,0.009875968,-0.0031145627,0.0044636345,0.010369362,21.974304,-89.098076,2089.5752,14.993333,-0.0012290882,-0.0027032197,500.66147,499.57016
0.23,-0.010466129,-0.01296287,0.0099350065,0.017374126,0.0044377334,0.010108759,22.382324,-87.491066,2062.2166,14.988398,0.0037510232,0.0014928782,500.234,499.56183
0.24,-0.011276256,0.025125615,0.009868324,-0.0011965913,0.0044614263,0.010448759,21.908129,-89.35142,2092.9773,14.993404,-0.0023488482,-0.002684871,500.2343,499.73743
0.25,-0.011267255,0.011404365,0.0107723065,-0.0038405845,0.0046500023,0.011768241,21.737808,-89.91599,2104.9917,14.9880085,-0.0041698418,-0.004099078,500.1862,499.75787
0.26,-0.010660707,-0.013547789,0.01015295,0.004506666,0.0045154053,0.010354839,22.043943,-88.77033,2084.1023,14.99041,-0.0033825494,-0.0031661827,500.1461,499.9916
0.27,-0.010819031,0.039799877,0.009700773,-0.0015902315,0.0043781237,0.010085717,22.12433,-88.55709,2076.318,14.994434,-0.002368552,-0.0037457705,500.13806,499.56558
0.28,-0.010915756,0.00577148,0.010416992,-0.002565481,0.004589825,0.01084899,21.794426,-89.78474,2099.994,14.985753,-0.0052655074,0.00019337043,500.0174,499.6287
0.29,-0.011034709,0.020290501,0.009850096,0.0024130603,0.004457576,0.010073043,21.965393,-89.19093,2088.4673,14.992573,-0.0013295419,-0.002598329,500.21622,499.52222
0.3,-0.011234531,0.0082367435,0.011458514,0.005411923,0.0048462516,0.012533299,21.782677,-89.63573,2105.2217,14.9897585,-0.004860835,-0.007078455,499.86508,499.8451
0.31,-0.011087112,0.018142052,0.0103083365,-0.0016203431,0.0045380155,0.0109434975,22.09865,-88.57087,2081.4548,14.993139,-0.0053640287,-0.0040616984,500.13324,499.35974
0.32,-0.009808079,-0.0048152884,0.0107160965,-0.0026158693,0.0045455704,0.011231892,22.173662,-88.1991,2074.4368,14.991665,-0.0032815556,-0.0009084576,499.6332,499.9289
0.33,-0.011151411,0.036898755,0.010777583,0.0038353296,0.0046636695,0.011490811,21.931684,-89.13659,2094.2039,14.993043,-0.0030162104,-0.00577876,500.00146,499.6728
0.34,-0.011373091,0.039098002,0.010365531,0.00638057,0.004596926,0.010725129,22.059917,-88.735306,2085.3286,14.991647,-0.003653811,-0.0035322101,500.761,499.70294
0.35,-0.010595834,-0.017659776,0.010779849,0.0033405793,0.004618573,0.010985538,22.336569,-87.56062,2069.5562,14.98378,-0.008569045,-0.00082442735,500.9719,500.09912
0.36,-0.011434205,-0.0045972844,0.009851253,-0.00053222675,0.004488594,0.010195041,21.790745,-89.852646,2100.848,14.988004,-0.004847962,0.0019221874,500.75186,500.07755
0.37,-0.010914247,-0.016010877,0.010489868,-0.009430708,0.0045824377,0.010573312,22.07912,-88.65023,2081.0396,14.980858,-0.0029381237,-0.0022228698,501.49728,499.87714
0.38,-0.011297217,0.011198342,0.009810188,-0.001902897,0.0044761696,0.010076311,21.959621,-89.219696,2088.6902,14.991055,-0.003114347,-0.0023552552,500.33682,499.49268
0.39,-0.011461414,-0.012966126,0.01028869,0.008000015,0.0045531904,0.010955088,22.078451,-88.60845,2085.9055,14.988299,-0.00407979,0.005480231,501.26788,500.29095
0.4,-0.011089844,0.0017575022,0.010309296,-0.0002692753,0.0045549492,0.0108179115,21.90469,-89.32362,2092.4993,14.986928,-0.0039633377,-0.00035503428,500.36188,499.87534
0.41,-0.010803876,-0.25280946,0.011125567,-0.005602166,0.0046788813,0.0114693865,22.993347,-84.91078,2033.9641,14.973868,-0.007784426,0.009429043,503.47107,502.49927
0.42,-0.007990086,-0.35442847,0.012634428,0.007982853,0.004902399,0.0109765455,23.524162,-82.05268,2003.2192,14.97445,-0.0013898644,0.0039343317,506.66843,507.86545
0.43,-0.008724049,-0.5820114,0.011411484,-0.0046700984,0.0048859986,0.008070974,23.77482,-81.40642,1970.8655,15.004604,-0.0025753016,0.012159998,508.23828,510.5937
0.44,-0.009377233,-0.562187,0.00998628,-0.012976203,0.0045860745,0.006381356,23.563307,-82.42319,1986.8942,14.977391,-0.002982633,0.004768709,510.70282,510.72992
0.45,-0.0076734973,-0.6191554,0.0149094425,-0.0111411605,0.0056398283,0.012620019,23.728853,-81.09074,1978.5433,14.995294,-0.000981873,0.011238856,510.02585,511.1614
0.46,-0.00953231,-0.57339406,0.00980089,-0.0046168193,0.004635076,0.0063793957,24.240175,-79.82315,1942.7695,14.996264,0.0017908562,0.00806676,508.69672,510.6333
0.47,-0.008634018,-0.5132826,0.012554675,-0.01997685,0.005217826,0.009029042,23.32019,-83.08354,1995.3016,15.004861,-0.005500686,0.007253539,508.41446,510.2634
0.48,-0.0070472825,-0.3932385,0.013481299,-0.018158585,0.0051273573,0.011195088,23.437475,-82.057884,2000.9857,14.978695,-0.0020373515,0.0020604436,506.4255,505.43698
0.49,-0.010479539,-0.22722776,0.00947651,-0.012796722,0.004306973,0.008672153,23.10117,-84.157295,2020.8884,14.977634,-0.0077835787,0.002371577,503.31265,502.3011
0.5,-0.011109674,0.0075865234,0.009785494,-0.0021003804,0.0044664512,0.010047944,21.940397,-89.292076,2088.2305,14.987964,-0.0049548987,-0.0020331857,500.10226,499.4286
0.51,-0.010171004,-0.28540087,0.008058956,-0.013663467,0.0039950088,0.00630248,23.235352,-84.195564,2008.3141,14.983722,-0.0019170562,0.0027380714,503.7497,502.52878
0.52,-0.0086709205,-0.36141396,0.014088019,-0.0125161,0.00538011,0.012713067,23.592613,-81.605446,1998.908,14.99661,-0.005088765,0.0028952372,508.32184,504.72736
0.53,-0.009867787,-0.58623403,0.010406565,-0.0028687997,0.004674687,0.0070482027,24.176842,-80.083305,1942.4597,14.990926,-0.002943437,-0.00046052228,508.90002,509.6793
0.54,-0.008292733,-0.5399187,0.01264647,-0.01526982,0.005135845,0.009429954,23.422443,-82.62944,1992.9373,15.001666,-0.0015703744,0.013014348,508.52783,510.5595
0.55,-0.009738926,-0.5654936,0.011551776,-0.010279439,0.0047096773,0.008993235,23.992899,-80.55289,1967.7433,14.986614,-0.0010034117,0.011672059,510.6539,510.57285
0.56,-0.006787365,-0.53590304,0.013620103,-0.020179845,0.005183237,0.010809092,24.149529,-79.76358,1945.7188,14.996493,0.00029107375,0.012594603,508.76053,509.713
0.57,-0.008758031,-0.47484493,0.011119787,-0.0126005,0.004760936,0.00800373,23.871607,-81.183136,1967.4484,14.995665,-0.00013820517,0.009299559,507.6668,510.1105
0.58,-0.008753707,-0.38682958,0.010517394,9.933845e-05,0.0045682634,0.008033313,23.450203,-82.7297,1999.1108,14.993179,-0.006871224,0.0021279338,506.3158,506.60596
0.59,-0.01023647,-0.1937142,0.010530504,-0.016514879,0.004469186,0.010358545,23.395428,-83.09187,2006.3165,14.991406,-0.0055102757,0.009746885,504.21973,502.39346
0.6,-0.01109417,0.0012480613,0.01019609,0.0031395515,0.0045428975,0.010907919,21.874557,-89.46329,2095.2598,14.988833,-0.005014556,-0.003320896,499.66763,499.76865
0.61,-0.011161571,0.029175885,0.009715416,0.00056276645,0.0044288062,0.009966563,22.092335,-88.67773,2081.148,14.995674,-0.0011304776,-0.0028710028,500.31406,499.60175
0.62,-0.011404911,0.014955133,0.009357069,0.0023730004,0.0043653143,0.009507942,21.96532,-89.2725,2086.0088,14.994718,-0.0014924442,-0.0022787985,500.34778,499.37753
0.63,-0.011184994,-0.017103534,0.009785434,0.0050565274,0.0044713253,0.010153787,21.808968,-89.74518,2097.0251,14.991288,-0.0021372493,-0.0026435065,499.93024,499.76447
0.64,-0.011056879,-0.0021599312,0.009954097,0.0002690906,0.0044955425,0.010319619,21.760881,-89.96051,2099.6653,14.989013,-0.0036935697,-0.0016889088,499.9171,499.5532
0.65,-0.01045015,0.019194394,0.009838943,-0.0030947106,0.004396554,0.009824276,22.364674,-87.556145,2060.877,14.990037,-0.0048102615,-0.004325818,500.43774,499.5888
0.66,-0.011176113,0.024524197,0.009841811,-0.002523225,0.0044373116,0.010133123,22.301014,-87.82114,2069.0444,14.994286,-0.00053206034,-0.004060335,500.4015,499.68353
0.67,-0.0109063,0.037672058,0.01013222,0.0028737818,0.0044857403,0.010556016,22.011644,-88.94442,2086.431,14.997016,-2.0577798e-05,-0.0027890808,500.149,499.62714
0.68,-0.011134781,0.018779702,0.009921126,-0.00015013678,0.004471577,0.010284046,21.972803,-89.15346,2088.1284,14.991302,-0.0019924543,-0.0046048495,500.22684,499.41727
0.69,-0.010648485,0.010078721,0.009580912,-0.0039583314,0.004367189,0.009747029,22.223927,-88.15857,2069.3647,14.994785,-0.0015522592,-0.0024010907,499.89105,499.81754
0.7,-0.008643792,-0.0152795315,0.012676502,0.008599131,0.004856523,0.013419606,22.98922,-84.11829,2030.8297,14.995934,-0.006359612,0.0011166628,499.52625,500.49918
0.71,-0.010954381,0.013015106,0.010299874,-0.0015669857,0.004571495,0.0105253365,22.091038,-88.55944,2082.0598,14.994257,-0.0033279662,-0.0006559363,500.24405,499.57758
0.72,-0.011185542,0.020906232,0.009644951,0.0110550625,0.0044313744,0.009963411,21.82331,-89.74919,2097.0974,14.99329,-0.0019107669,-0.002540203,499.9868,499.7923
0.73,-0.011105434,0.04161361,0.010112565,0.009529561,0.004515975,0.010858629,22.101221,-88.49387,2081.3044,14.996034,-0.0042564385,-0.0054338905,500.5494,499.76004
0.74,-0.010743415,-0.02662028,0.010532491,0.0044565005,0.0045888447,0.010879893,22.165092,-88.24383,2079.0244,14.990895,8.5952146e-05,-0.004259292,500.30618,500.18777
0.75,-0.010940383,0.030930556,0.011288641,-0.0020551702,0.004705685,0.012528421,22.029722,-88.731606,2087.3638,14.98873,-0.0066774674,-0.004738148,500.02512,499.4956
0.76,-0.009210474,-0.05884339,0.007806275,0.050269686,0.003804588,0.008099903,23.343292,-83.43717,2002.3457,14.985076,-0.010640562,-0.010986816,498.71976,501.10504
0.77,-0.0072111865,0.036255874,0.0086858515,0.088777035,0.003673718,0.009275201,23.299334,-83.511635,2012.9952,14.974862,-0.004462306,-0.011218371,496.8693,501.84985
0.78,-0.008486833,0.07422985,0.012801304,0.12127977,0.0043020407,0.0148874875,23.835176,-79.73027,1995.9382,14.98807,-0.008468929,-0.0023885882,496.13522,502.3705
0.79,-0.0067548393,0.037063092,0.01371136,0.12503996,0.004240294,0.015837438,23.635447,-80.63881,2005.6132,14.9702015,-0.0048335437,-0.0048215156,495.748,504.29535
0.8,-0.0070104008,0.0313131,0.014053577,0.13675353,0.004263159,0.01628003,24.136097,-78.145775,1975.908,14.981857,-0.0019325869,-0.005109036,495.8299,503.75238
0.81,-0.0077978955,-0.011070695,0.012721221,0.13016038,0.004102053,0.014654348,23.969309,-79.11456,1984.0627,14.982365,-0.0015936174,-0.0037470623,495.59198,503.1009
0.82,-0.0073456955,0.06368321,0.014920003,0.1179526,0.0045715524,0.017482799,23.68228,-80.07985,2005.4828,14.978697,-0.0065654186,-0.008820657,496.67523,503.35886
0.83,-0.008505354,-0.0029594903,0.013728866,0.08561509,0.0044204528,0.016069673,23.31102,-81.956535,2026.5142,14.978958,-0.0060733333,-0.0066184867,498.05307,501.19043
0.84,-0.008341282,0.052476235,0.011679413,0.05079392,0.0042204354,0.01305029,22.625008,-85.648346,2061.687,14.974046,-0.012570888,-0.011576693,499.42584,501.53128
0.85,-0.010743942,0.016728818,0.010901304,0.0069108354,0.0046431366,0.011779375,21.896805,-89.35768,2093.9238,14.991184,-0.004805434,-0.0031588087,499.99,499.3511
0.86,-0.009084049,0.0067921723,0.008520038,0.047586337,0.003949841,0.009017948,22.922718,-85.11544,2027.6069,14.987202,-0.005388904,-0.009905502,498.0291,500.4081
0.87,-0.009202356,0.08708651,0.009084959,0.094294704,0.0039572543,0.010001985,23.124321,-84.15535,2028.8092,14.988261,-0.007904469,-0.010067407,497.41187,501.39102
0.88,-0.00924214,0.02583351,0.009749641,0.11893802,0.003981644,0.010891122,23.207361,-83.58253,2032.2104,14.974709,-0.010710546,-0.00570498,497.37283,502.46573
0.89,-0.008577214,0.021962449,0.01346781,0.12968664,0.0042939023,0.015845323,23.868101,-79.299164,1996.7972,14.991971,-0.0072080567,-0.00239556,495.26166,504.28745
0.9,-0.009135601,0.0648814,0.012087921,0.14435156,0.003916094,0.014007464,24.421597,-77.304985,1964.8782,14.98871,-0.010248132,-0.0007017739,496.48355,502.9098
0.91,-0.007937314,0.029972516,0.013042506,0.14033718,0.0039512734,0.015356206,24.178104,-78.12743,1975.8859,14.981847,-0.008818931,0.00036301833,495.4198,503.73682
0.92,-0.008768521,0.03751067,0.01166784,0.11063247,0.0042466437,0.012937937,23.700607,-80.67315,2007.7368,14.968528,-0.014287797,-0.014562759,496.57993,503.3875
0.93,-0.009337474,0.060034543,0.009371461,0.07594025,0.003950571,0.010224473,22.71383,-85.688095,2051.0283,14.984954,-0.008303387,-0.012651271,497.6994,501.10443
0.94,-0.009405292,0.019152664,0.008303616,0.040019993,0.0038571786,0.008893883,23.393772,-83.41117,1998.0037,14.987824,-0.0059775203,-0.0019722057,498.09058,501.00702
0.95,-0.010462828,0.0073896865,0.010203117,-0.0028984642,0.0044799633,0.010302894,22.20387,-88.18545,2072.7524,14.996014,0.0007325472,-0.0032866145,500.3372,499.8045
0.96,-0.011150461,0.047743052,0.011280715,0.0065553244,0.0048005097,0.0122525375,22.58295,-86.375534,2053.6697,15.000437,-0.003892584,0.002555874,500.88785,499.27817
0.97,-0.010983726,-0.058511794,0.009635709,0.004604323,0.0044476986,0.009745926,22.214918,-88.01682,2073.3594,14.990106,-0.0039560585,-0.004066988,499.90848,500.3788
0.98,-0.011331005,0.022103652,0.0102146305,-0.003403757,0.0045875856,0.010605994,21.89068,-89.41613,2093.6494,14.988934,-0.0055679767,-0.00085210847,500.3776,499.5441
0.99,-0.010839498,0.017348059,0.011003018,0.00059431035,0.004667639,0.011868859,21.8831,-89.389534,2095.2131,14.98874,-0.004362897,-0.00388554,500.16153,499.45038
1.0,-0.0039851367,0.0029966752,-0.008052136,0.016901946,-0.0017958251,-0.010107746,48.557625,15.763062,312.53525,14.975791,-4.8017733e-05,-0.010918431,506.26126,502.75406
1.01,-0.0052833143,-0.22272116,-0.005941524,0.018089501,-0.0014234587,-0.0048268414,46.85035,8.942118,455.60468,14.981739,0.00043849758,-0.024076086,502.17905,499.29755
1.02,0.003972873,-0.16302621,-0.011016223,-2.3160264e-05,-0.0029066205,-0.013522123,49.018032,18.668978,294.7646,14.988945,-0.0058404915,-0.0032098943,499.2131,502.00327
1.03,0.0044843527,-0.018402278,-0.014600436,-0.021911874,-0.0038273674,-0.018333009,46.44772,9.804851,511.80896,14.986206,-0.016384184,0.02359099,499.74554,500.0232
1.04,0.0004097597,-0.22025262,0.0053307167,0.066406585,0.0011361629,0.00647255,47.738525,14.261405,408.9392,15.001123,0.037307426,-0.017287435,500.54794,504.3903
1.05,0.004719463,-0.13661346,-0.010430399,-0.006115945,-0.0026204386,-0.014119112,47.305542,10.712348,409.67056,15.048482,-0.02378715,0.01967567,497.68915,500.74292
1.06,0.00049079565,-0.10356108,0.0028297184,0.0045051426,0.0006033372,0.00344798,47.875263,15.401556,367.13345,15.050712,0.0070492118,-0.008926181,504.7213,500.06522
1.07,0.0015011035,-0.003683478,-0.0037787193,0.092323616,-0.00096234883,-0.0056949994,48.714985,16.909176,322.5986,14.998228,0.056194272,-0.026902046,498.6368,502.1437
1.08,0.00090746,-0.08236348,-0.015003694,0.02394486,-0.0035722705,-0.018666383,47.97854,14.3039055,396.41544,15.016477,0.029008994,0.018537732,504.77466,503.24698
1.09,0.0021075644,-0.14068821,-0.012992375,-0.00036088392,-0.003069295,-0.01784623,47.200954,10.701694,414.70618,14.982095,0.018940523,0.0036767165,502.02896,504.14774
1.1,0.0012125768,-0.19402756,-0.0010878169,0.031104226,-0.00031335943,-0.0012264315,47.291836,13.508234,445.66928,15.014811,0.019612804,0.018574663,501.39575,500.02032
1.11,0.0031701634,-0.1941957,-0.005597424,0.030939909,-0.0017289667,-0.008811036,48.35378,16.15332,378.51065,15.025328,0.008381527,0.00599386,502.33646,503.38428
1.12,-0.000846953,0.03833785,-0.005289587,-0.045103133,-0.0010997294,-0.0071253004,47.97299,16.894102,432.1901,15.009209,0.012161271,0.01405001,502.9459,509.1104
1.13,0.00060577143,0.12818718,0.007976273,-0.00027114167,0.0011384869,0.011375822,47.960068,16.656792,411.49554,14.966766,0.0012524464,-0.025764614,499.4428,504.24033
1.14,-0.0015272782,-0.20071793,0.010365725,-0.04314696,0.002490846,0.014695284,47.121334,10.673709,437.22488,14.980886,0.03350834,0.020981876,500.11212,504.39243
1.15,0.0076128673,-0.21630184,0.006135592,-0.0049741436,0.0011790867,0.0067737065,49.084755,19.388166,275.06946,15.040807,-0.0015125815,-0.04453429,495.70084,501.9292
1.16,-0.0029798122,-0.18730287,-0.0042128405,0.05487434,-0.0011894859,-0.005310685,49.09019,19.055141,310.73502,15.03389,0.004502078,0.027419258,496.8275,501.90204
1.17,0.00057067524,-0.033159792,0.010106521,0.06228265,0.0021431942,0.013987099,47.760197,14.772324,391.74527,15.0025835,0.03437862,0.025299331,501.50546,501.9658
1.18,0.0026709428,0.073927164,0.007232433,0.018245963,0.0011981991,0.008035629,48.506474,20.032084,358.16507,15.004825,0.0067130136,-0.023080645,501.70685,499.73227
1.19,0.0028488433,0.0697532,0.0016532306,0.02586719,-7.119376e-05,0.0017245773,49.094074,20.658596,306.867,14.993836,0.00065102713,-0.01649423,500.99475,502.64682
1.2,0.0015365528,-0.13813357,-0.00025072112,-0.0062325075,0.00021417477,0.0004350769,48.813286,19.456413,336.39554,15.116908,-0.021820262,-0.010181386,497.6998,499.2691
1.21,-0.0005247649,-0.29512858,-0.0057517802,-0.028710026,-0.0016812313,-0.007009943,47.623005,12.962015,408.63498,15.082153,-0.008346171,0.018658783,505.0925,501.59235
1.22,-0.00052375835,-0.09875272,-0.0054078447,0.01980711,-0.0010697584,-0.006687355,47.228737,9.939707,387.33704,14.995919,0.009090768,0.027459333,503.5662,500.26196
1.23,0.00060912315,-0.16550133,0.0012413639,0.07242943,3.9984734e-05,0.0030196528,47.235214,13.276741,442.1158,14.988463,0.021470955,0.02629248,499.13205,496.43503
1.24,0.004735604,0.074536026,0.0053237975,0.030454313,0.00056026684,0.0063746804,48.336327,17.443624,367.4693,15.037724,0.0012758113,-0.0021783572,501.54962,503.5729
1.25,0.0042282715,-0.23757103,0.0008622792,-0.035557587,0.0002861893,-0.00041872496,47.235992,13.564422,439.82944,15.087001,-0.017671557,-0.029026246,501.53314,504.15738
1.26,0.0013625103,-0.03460182,-0.004417599,-0.036352687,-0.0010746006,-0.0052614603,47.8401,14.246402,409.5441,14.949583,0.030974992,-0.006642073,499.2751,503.60025
1.27,0.0026396045,-0.12165695,0.0022236542,0.03703862,0.00080116256,0.004139613,48.016705,16.037367,406.53757,15.025642,0.008905224,0.0060580196,503.46613,501.33987
1.28,0.0022533222,-0.0481373,0.007046957,0.07410582,0.0016920406,0.009211762,47.881855,14.246898,368.0078,15.002077,0.008507923,-0.006123961,497.87607,501.15143
1.29,-0.0013513619,0.07071768,-0.005519488,0.01543304,-0.0014098159,-0.005748703,46.97453,10.086131,428.60736,15.000157,-0.00015858856,0.0003343803,498.8357,500.3135
1.3,0.008374904,-0.06763789,-0.0123884585,-0.01947828,-0.0032372728,-0.01799834,47.764362,14.913163,397.1151,15.021644,-0.0006373337,0.015844133,497.9056,503.75705
1.31,0.002360041,-0.22341242,-0.001162614,0.05650026,-0.00051939365,-0.00240123,47.84536,15.086184,399.7847,14.968593,-0.0124005815,0.013967133,498.41058,496.09552
1.32,-0.0014526993,-0.014005352,-9.82238e-05,-0.007739775,0.0002318351,-0.0001018818,48.55059,17.756615,364.52017,15.001309,0.01925047,-0.00480809,500.9125,500.18585
1.33,-0.0043838704,0.24045283,-0.0093636345,0.13104776,-0.0023105047,-0.010451451,47.90429,15.360256,428.53113,14.950996,0.0348199,0.009556155,503.11197,501.7501
1.34,6.8556925e-05,-0.028959423,-0.0035187495,-0.018897794,-0.0011670595,-0.003535166,47.96852,14.968892,374.06082,15.05505,-0.0027188167,0.0088626705,503.0115,503.2432
1.35,-0.0014031369,0.01897914,-0.0035978921,0.032720532,-0.0011500227,-0.0040562153,46.918243,10.126777,445.28033,15.014382,0.009456005,0.0014092479,500.93372,501.53024
1.36,-0.0014936882,-0.10175783,0.0011170207,0.08002507,0.0002592209,0.00054717495,48.237053,14.653595,338.75925,14.988557,0.01706259,-0.020884026,503.54532,499.98758
1.37,-0.00328658,0.21018654,0.0027097163,0.06405375,0.00086634967,0.006598645,47.799652,14.8306265,385.7966,14.942904,0.0023103696,-0.0015461342,505.20142,502.0591
1.38,-0.0012953316,-0.090347596,0.006215973,0.035039518,0.0013525725,0.009596968,49.04314,19.42292,306.02823,14.906963,0.005983071,-0.0040839477,498.6624,505.70328
1.39,0.0016888294,-0.22919074,-0.008184194,0.008242988,-0.001655031,-0.01098731,47.67426,14.255231,427.06253,15.067125,-0.0010544385,0.0067915837,503.40717,505.19174
1.4,0.0014776054,-0.28273475,-0.0020161653,0.072847314,-0.00038073884,-0.0029320708,48.042004,14.93628,372.8335,14.966951,0.0058144866,0.006607206,499.62723,503.85785
1.41,0.0027021454,-0.069053695,0.0109891575,-0.058043085,0.0020260736,0.012805888,49.215336,21.798012,328.8092,15.022292,-0.015665922,-0.02439511,500.77356,497.68185
1.42,0.0036894656,-0.21576594,-0.001601566,0.042433973,-0.00042202036,-0.004483715,47.967735,14.970385,390.54324,15.00312,0.022293309,-0.016911512,498.4591,505.26697
1.43,0.0031193187,0.033634074,-0.004780794,-0.025232352,-0.0015272291,-0.0047775023,47.690643,15.644664,446.9812,14.941685,-0.027814515,0.010991655,496.8511,501.1692
1.44,0.0075621074,-0.04664506,-0.001689614,0.03462122,-0.0009518061,-0.0013198357,48.003437,17.2028,400.4831,15.038816,0.010816369,0.0628472,497.69388,503.15356
1.45,-0.00058576674,-0.23589183,0.0010051241,0.096880294,0.00014718567,0.0021880583,46.836235,10.181077,456.0929,14.98145,0.011087066,-0.007013929,504.7174,502.32394
1.46,0.0031325244,-0.12929966,-0.003090722,0.010138449,-0.00072691066,-0.0035837265,47.897854,15.712295,387.13974,15.04745,0.023056658,0.029546604,499.36633,500.32672
1.47,-0.0036688992,0.036122903,0.002367421,0.057215016,0.0004436788,0.0045202165,48.38013,16.712906,340.05252,15.000276,-0.008132888,0.0023914012,502.31912,501.446
1.48,0.0007446713,0.16001196,-0.0027303058,-0.009585507,-0.0011310687,-0.0015672185,48.012924,16.2276,404.39957,15.013764,-0.00930169,-0.013607843,497.66638,502.5614
1.49,-0.0014569543,-0.040969342,-0.0014182902,0.038617283,1.4187244e-05,-0.0013557065,47.49375,13.076169,426.3786,14.970749,0.018463993,-0.019677307,500.5751,500.93964
1.5,0.0011523619,0.04831572,0.0030846295,0.077976935,0.0003784372,0.005563167,47.004566,12.849148,475.63608,14.987902,-0.026521856,0.020598367,497.82874,500.22214
1.51,0.0017078058,-0.09386181,0.0043638106,0.04996228,0.0013282843,0.0036749435,47.401398,14.664852,441.19092,15.020883,0.010427576,-0.0004208266,507.3232,502.27856
1.52,-0.00048429007,-0.09629422,-0.0089159645,0.011503741,-0.002025488,-0.011898972,46.344063,9.04574,504.9049,15.0365715,-0.009291222,-0.015506936,502.03918,503.02646
