Time,ax_caro,ay_caro,az_caro,wx_caro,wy_caro,wz_caro,Lat_caro,Lon_caro,Alt_caro,vN_caro,vE_caro,vU_caro,d_izq_caro,d_der_caro
0.0,-0.011117673,0.0061052735,0.010237349,0.00025235474,0.0045574643,0.010595623,22.023186,-88.8447,2086.936,14.993131,-0.0020077566,-0.0031738572,500.15912,499.69186
0.01,-0.010761015,0.047454223,0.011192191,0.009704389,0.0046915025,0.012207279,22.387276,-87.08875,2068.661,14.987993,-0.008475727,-0.008819204,500.09705,499.80585
0.02,-0.01118914,0.014891051,0.009978379,0.0010820254,0.004489896,0.010543866,22.131456,-88.439705,2081.913,14.985299,-0.0034974625,-0.0054965788,499.9044,499.8588
0.03,-0.011254413,0.022805318,0.0112406,-0.008140402,0.00469609,0.01255573,21.877792,-89.15949,2100.1096,14.993027,-3.3874552e-05,-0.00034973197,500.75867,500.7809
0.04,-0.010728379,0.003657631,0.009490028,0.0027806477,0.0043682232,0.009652541,22.004765,-89.04845,2083.294,14.993451,-0.0034929311,-0.0031082712,500.01096,499.62778
0.05,-0.0103197815,-0.019762669,0.010379172,0.0051663285,0.004506221,0.011010911,22.036211,-88.804146,2082.9326,14.990149,-0.004383824,-0.0001945285,500.11908,499.6099
0.06,-0.010923244,-0.036652654,0.009970679,0.0027617381,0.0044948026,0.00999986,22.072386,-88.7646,2080.4236,14.994567,-0.0019508024,-0.0011357161,500.46915,499.78568
0.07,-0.0103815505,0.01366587,0.011308601,-0.0026337209,0.004720065,0.01217751,21.736889,-89.91331,2103.574,14.985553,-0.0053655566,-0.002991504,499.77722,499.3675
0.08,-0.009895312,0.008261502,0.009893073,0.0033808963,0.0044024684,0.009968329,22.318417,-87.67387,2062.7986,14.997055,-0.0018550764,-0.0017068749,499.56665,500.25842
0.09,-0.011167111,0.008892447,0.009248491,0.008132324,0.004337961,0.009427278,22.031422,-88.98424,2081.0312,14.998703,-0.0010068032,0.002046739,500.43433,499.48438
0.1,-0.011335297,0.025817469,0.009884483,-0.00090826687,0.0044781873,0.010259278,21.937681,-89.28057,2091.094,14.988893,-0.004115471,-0.004372519,500.39273,499.54398
0.11,-0.011034412,0.005613453,0.009057641,0.005816795,0.004202393,0.00898242,22.336441,-87.62253,2066.866,15.00101,-0.006537696,-0.0028420656,501.9223,499.75
0.12,-0.011263736,0.0058463956,0.010574868,-0.0060311873,0.004603657,0.011421718,21.700293,-90.078804,2106.7498,14.98765,-0.0030030117,0.0001267541,500.4266,499.9982
0.13,-0.011029827,0.034570828,0.010102661,0.0021996216,0.004507765,0.010513721,22.043356,-88.82742,2086.0222,14.993538,-0.0014310301,-0.0033235594,500.2242,499.62543
0.14,-0.01113776,-0.0025004526,0.009752935,-0.0005106145,0.0044571776,0.0100848675,21.87774,-89.4687,2093.4084,14.990458,-0.0026731573,-0.002969363,499.85468,499.6176
0.15,-0.010949008,0.0079782605,0.009819825,0.000999851,0.0044446583,0.010176091,21.905642,-89.40169,2090.406,14.993144,-0.0036690736,0.00037121677,500.22647,499.59476
0.16,-0.010628996,0.021989517,0.01076106,-0.0035656525,0.0046207653,0.011415083,21.932308,-89.11609,2090.9497,14.989541,-0.0059919483,0.00018249654,500.00146,499.43555
0.17,-0.009632009,0.03457421,0.011628671,0.01338165,0.0047087623,0.0127642555,22.170694,-87.94163,2079.493,14.984245,-0.0059696175,-0.0089283455,499.04495,499.81982
0.18,-0.011311703,0.025618017,0.009991179,0.0016374419,0.004490165,0.010537839,21.989637,-89.06674,2087.662,14.994983,-0.0021333029,-0.0042648637,500.34784,499.58313
0.19,-0.011029788,0.0013174784,0.010037018,-0.0029479621,0.0045046136,0.010320332,22.280405,-87.90204,2070.4297,14.986903,-0.0012135778,-0.0031993599,500.26895,499.74274
0.2,-0.011166468,0.017603226,0.010078268,3.4574285e-05,0.004539908,0.010327404,22.02946,-88.89812,2085.1584,14.985961,-0.005583422,-0.0022191368,500.35422,499.50995
0.21,-0.01053999,-0.06820275,0.009844955,-0.0052081104,0.0044349213,0.009585137,22.290888,-87.879684,2065.4873,14.994364,-0.0024184876,-0.0011216857,500.6847,499.94226
